id;nom;detail;espece_id;typenum_id;groupe_id;step;supprimable;requis;min;nonullable
1;Nombre de vaches;NULL;1;1;1;1.0;0;1;0;1
2;Nombre de génisses de la naissance au vélage;NULL;1;1;1;1.0;0;1;0;1
3;Nombre de vélages;NULL;1;1;1;1.0;0;1;0;1
4;nombre de vélages de vaches;NULL;1;1;1;1.0;0;1;0;0
5;Nombre de vélages de génisses;NULL;1;1;1;1.0;0;1;0;1
6;nombre de veaux nés;NULL;1;1;1;1.0;0;1;0;1
7;nombre de vaches réformées;NULL;1;1;1;1.0;0;1;0;0
8;nombre d’animaux au pâturage;NULL;1;1;1;1.0;0;1;0;1
9;nombre de vaches mortes;NULL;1;1;2;1.0;0;1;0;0
10;Nombre d’animaux morts de la naissance au vélage;NULL;1;1;2;1.0;0;1;0;0
11;nombre de veaux morts dans les 24 premières heures;NULL;1;1;2;1.0;0;1;0;0
12;Frais vétérinaires (hors conseil);NULL;1;1;8;1.0;0;1;0;0
16;nombre d’avortements;NULL;1;1;9;1.0;0;1;0;0
36;nombre de veaux morts de 1 jour au sevrage;NULL;1;1;2;1.0;0;1;0;0
37;nombre de veaux malades;NULL;1;1;5;1.0;0;1;0;0
38;nombre de gros nombrils;NULL;1;1;5;1.0;0;1;0;0
39;nombre de diarrhées chez les veaux;NULL;1;1;5;1.0;0;1;0;0
40;nombre de cas de maladie respiratoire;NULL;1;1;5;1.0;0;1;0;0
41;nombre de diarrhées chez les jeunes et les adultes;NULL;1;1;7;1.0;0;1;0;0
42;nombre de foies saisis;NULL;1;1;7;1.0;0;1;1;0
59;mortalité estivale;NULL;1;1;2;1.3;1;1;1;0
